area_type,availability,location,size,society,total_sqft,bath,balcony,price
6,Unavailable ,Electronic City Phase II,2,Coomee ,1056,2,1,39.07
10,Ready To Move,Chikka Tirupathi,4,Theanmp,2600,5,3,120
2,Ready To Move,Uttarahalli,3,u,1440,2,3,62
6,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,95
6,Ready To Move,Kothanur,2,u,1200,2,1,51
6,Ready To Move,Whitefield,2,DuenaTa,1170,2,1,38
6,Unavailable ,Old Airport Road,4,Jaades ,2732,4,0,204
6,Ready To Move,Rajaji Nagar,4,Brway G,3300,4,0,600
6,Ready To Move,Marathahalli,3,u,1310,3,1,63.25
10,Ready To Move,Gandhi Bazar,6,u,1020,6,0,370
6,Unavailable ,Whitefield,3,u,1800,2,2,70
10,Ready To Move,Whitefield,4,Prrry M,2785,5,3,295
6,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38
2,Ready To Move,Gottigere,2,u,1100,2,2,40
10,Ready To Move,Sarjapur,3,Skityer,2250,3,2,148
6,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,73.5
6,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,48
6,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60
6,Ready To Move,Ramakrishnappa Layout,3,PeBayle,2770,4,2,290
6,Ready To Move,Manayata Tech Park,2,u,1100,2,2,48
2,Ready To Move,Kengeri,1,u,600,1,1,15
6,Unavailable ,Binny Pete,3,She 2rk,1755,3,1,122
10,Ready To Move,Thanisandra,4,Soitya ,2800,5,2,380
6,Ready To Move,Bellandur,3,u,1767,3,1,103
6,Unavailable , Thanisandra,1,Bhe 2ko,510,1,0,25.25
6,Unavailable ,Mangammanapalya,3,u,1250,3,2,56
6,Ready To Move,Electronic City,2,Itelaa ,660,1,1,23.1
2,Unavailable ,Whitefield,3,u,1610,3,2,81
6,Unavailable ,Ramagondanahalli,2,ViistLa,1151,2,2,48.77
6,Ready To Move,Electronic City,3,KBityo ,1025,2,1,47
6,Unavailable ,Yelahanka,4,LedorSa,2100,4,0,186
6,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,35
6,Ready To Move,Hebbal,3,Mahosya,1760,2,2,123
6,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
2,Ready To Move,Kasturi Nagar,3,Kantsce,1925,3,0,125
6,Unavailable ,Kanakpura Road,2,PrarePa,700,2,1,36
6,Ready To Move,Electronics City Phase 1,2,u,1070,2,1,45.5
6,Ready To Move,Kundalahalli,3,Dieldli,1724,3,2,125
6,Ready To Move,Chikkalasandra,3,u,1290,2,2,56.12
2,Ready To Move,Uttarahalli,2,u,1143,2,2,45
2,Ready To Move,Murugeshpalya,2,Gentson,1296,2,0,81
6,Unavailable ,Sarjapur  Road,3,Soini T,1254,3,2,38
6,Ready To Move,Ganga Nagar,1,Ceove G,600,1,0,38
10,Ready To Move,Yelahanka,1,u,660,1,0,48
6,Unavailable ,Kanakpura Road,2,Soazak ,1330.74,2,2,91.79
10,Ready To Move,HSR Layout,8,u,600,9,0,200
6,Ready To Move,Doddathoguru,2,LancyRe,970,2,0,33
6,Unavailable ,Whitefield,2,Goted U,1459,2,1,94.82
10,Ready To Move,KR Puram,2,u,800,1,1,130
2,Ready To Move,Himagiri Meadows,2,u,869,2,1,36
6,Ready To Move,Adarsh Nagar,2,Bhncyis,1270,2,1,50
6,Unavailable ,Bhoganhalli,3,Rosha I,1670,3,1,99
2,Ready To Move,Whitefield,3,Suent V,2010,3,2,91
6,Ready To Move,Lakshminarayana Pura,2,RothaVa,1185,2,2,75
6,Ready To Move,Yelahanka,3,NCowsar,1600,2,3,75
6,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44
2,Unavailable ,Devanahalli,4,BrereAt,3010,0,0,192
6,Ready To Move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,185
10,Ready To Move,Murugeshpalya,6,u,1407,4,1,150
6,Ready To Move,Govindaraja Nagar Ward,2,u,840,2,2,45
10,Ready To Move,Tharabanahalli,3,u,4395,3,2,240
6,Ready To Move,Ganga Nagar,2,Laavevi,845,2,1,55
10,Ready To Move,Whitefield,4,Chranya,5700,5,3,650
2,Ready To Move,Varthur,2,HioraTr,1160,2,2,44
2,Ready To Move,Bommanahalli,8,u,3000,8,0,140
6,Ready To Move,Doddathoguru,2,u,1100,2,1,62
6,Unavailable ,Gunjur,2,BMineis,1140,2,3,43
6,Ready To Move,Marathahalli,2,u,1220,2,1,57
10,Ready To Move,Devarachikkanahalli,8,u,1350,7,0,85
6,Ready To Move,Kanakpura Road,2,u,1005,2,1,36.68
10,Ready To Move,Double Road,3,u,500,3,2,100
6,Unavailable ,Begur Road,2,Pruthg ,1358,2,1,80.58
6,Ready To Move,Hegde Nagar,3,Sonosty,1569,3,1,101
6,Unavailable ,Haralur Road,2,SNnia E,1240,2,1,70
6,Ready To Move,Hennur Road,3,Anavi B,2089,3,2,140
6,Ready To Move,Kothannur,2,u,1206,2,1,48.23
6,Ready To Move,Kalena Agrahara,2,u,1150,2,3,40
2,Ready To Move,Cholanayakanahalli,3,Viony H,2511,3,3,205
2,Ready To Move,Kaval Byrasandra,2,u,460,1,0,22
2,Ready To Move,ISRO Layout,6,u,4400,6,3,250
6,Ready To Move,Kodanda Reddy Layout,3,AdentEl,1660,2,2,105
2,Unavailable ,Hennur Road,4,Gollela,2957,0,0,224.5
6,Unavailable ,Yelahanka,2,Niareum,1326,2,2,78
6,Ready To Move,Garudachar Palya,3,u,1325,2,2,60.8
6,Ready To Move,EPIP Zone,3,SJlynro,1499,5,2,102
2,Ready To Move,Hegde Nagar,6,u,3000,7,2,210
6,Ready To Move,Kanakpura Road,3,u,1665,3,2,88
6,Unavailable ,Dasanapura,2,Tavenew,708,2,2,37
6,Ready To Move,Kasavanhalli,2,Srire S,1060,2,2,58.06
10,Ready To Move,Rajaji Nagar,6,u,710,6,3,160
2,Ready To Move,Sanjay nagar,2,Saenti ,1000,2,2,70
6,Unavailable ,Electronic City,2,u,1000,2,1,28.88
6,Ready To Move, Mysore Highway,3,u,1450,2,2,70
10,Ready To Move,ISRO Layout,4,u,1200,4,2,155
6,Unavailable ,Thanisandra,2,Bhmesy ,1296,2,3,80
6,Ready To Move,Domlur,3,u,1540,3,2,90
10,Ready To Move,Kengeri,4,Goardth,2894,4,1,245
6,Ready To Move,Sarjapura - Attibele Road,3,u,1330,2,1,48
2,Ready To Move,Devasthanagalu,2,u,1200,2,1,65
2,Ready To Move,T Dasarahalli,3,u,1200,3,1,90
6,Ready To Move,Yeshwanthpur,3,IBityin,2502,3,3,138
2,Ready To Move,Chandapura,2,KHityry,650,1,1,17
10,Ready To Move,Kothanur,3,BDensar,2400,2,1,150
6,Ready To Move,Green View Layout,2,Makeser,1007,2,2,43
6,Ready To Move,Shantiniketan Layout,2,Maest N,1200,2,2,50
6,Ready To Move,Peenya,2,u,966,2,2,49.9
2,Ready To Move,Nagarbhavi,3,u,1630,2,1,98
2,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,229
2,Ready To Move,Jalahalli West,2,u,782,2,2,55.68
6,Unavailable ,Devanahalli,2,Oznuean,1260,2,2,66.78
6,Ready To Move,Lakshmiamma Garden,3,u,1800,3,3,120
6,Ready To Move,Byatarayanapura,3,Reeroce,1413,2,2,75
6,Ready To Move,Whitefield,2,Sonviik,1116,2,1,51.91
6,Ready To Move,Electronic City,3,DSgmax ,1530,2,1,45.9
2,Ready To Move,Ramamurthy Nagar,4,u,3700,4,1,225
2,Ready To Move,Sarjapur  Road,3,Cetattu,2497,3,2,140
6,Ready To Move,Kengeri,3,Vaens G,1540,2,3,64
6,Unavailable ,Thanisandra,3,u,1436,3,1,74.75
6,Unavailable ,Malleshwaram,2,u,1100,2,2,75
10,Ready To Move,Hennur Road,2,u,276,3,3,23
6,Ready To Move,Thanisandra,3,Moity S,1427,3,2,120
6,Ready To Move,Akshaya Nagar,3,HiahsLa,2061,3,1,200
6,Unavailable ,Hebbal,4,SNontle,3067,4,0,477
2,Ready To Move,Shampura,4,u,2650,4,2,150
6,Unavailable ,Devanahalli,3,Sabixtt,1282,2,2,68.52
2,Ready To Move,Kadugodi,2,u,1050,2,1,34
2,Ready To Move,LB Shastri Nagar,3,Sragei ,1600,3,2,65
